nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1, 0.000000000E+00, 0.000000000E+00, 1.241983225E+00, 0.000000000E+00, 0.000000000E+00
         2, 9.995528819E-03, 0.000000000E+00, 1.241862380E+00, 0.000000000E+00, 0.000000000E+00
         3, 1.999105764E-02, 0.000000000E+00, 1.241627012E+00, 0.000000000E+00, 0.000000000E+00
         4, 2.998658646E-02, 0.000000000E+00, 1.241397027E+00, 0.000000000E+00, 0.000000000E+00
         5, 3.998211528E-02, 0.000000000E+00, 1.241165437E+00, 0.000000000E+00, 0.000000000E+00
         6, 4.997764409E-02, 0.000000000E+00, 1.240934351E+00, 0.000000000E+00, 0.000000000E+00
         7, 5.997317291E-02, 0.000000000E+00, 1.240707302E+00, 0.000000000E+00, 0.000000000E+00
         8, 6.996870173E-02, 0.000000000E+00, 1.240486592E+00, 0.000000000E+00, 0.000000000E+00
         9, 7.996423055E-02, 0.000000000E+00, 1.240273282E+00, 0.000000000E+00, 0.000000000E+00
        10, 8.995975937E-02, 0.000000000E+00, 1.240068190E+00, 0.000000000E+00, 0.000000000E+00
        11, 9.995528819E-02, 0.000000000E+00, 1.239871959E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.099508170E-01, 0.000000000E+00, 1.239685117E+00, 0.000000000E+00, 0.000000000E+00
        13, 1.199463458E-01, 0.000000000E+00, 1.239508118E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.299418746E-01, 0.000000000E+00, 1.239341364E+00, 0.000000000E+00, 0.000000000E+00
        15, 1.399374035E-01, 0.000000000E+00, 1.239185226E+00, 0.000000000E+00, 0.000000000E+00
        16, 1.499329323E-01, 0.000000000E+00, 1.239040049E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.599284611E-01, 0.000000000E+00, 1.238906154E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.699239899E-01, 0.000000000E+00, 1.238783852E+00, 0.000000000E+00, 0.000000000E+00
        19, 1.799195187E-01, 0.000000000E+00, 1.238673437E+00, 0.000000000E+00, 0.000000000E+00
        20, 1.899150476E-01, 0.000000000E+00, 1.238575194E+00, 0.000000000E+00, 0.000000000E+00
        21, 1.999105764E-01, 0.000000000E+00, 1.238489402E+00, 0.000000000E+00, 0.000000000E+00
        22, 2.099061052E-01, 0.000000000E+00, 1.238416324E+00, 0.000000000E+00, 0.000000000E+00
        23, 2.199016340E-01, 0.000000000E+00, 1.238356246E+00, 0.000000000E+00, 0.000000000E+00
        24, 2.298971628E-01, 0.000000000E+00, 1.238309370E+00, 0.000000000E+00, 0.000000000E+00
        25, 2.398926917E-01, 0.000000000E+00, 1.238275986E+00, 0.000000000E+00, 0.000000000E+00
        26, 2.498882205E-01, 0.000000000E+00, 1.238255955E+00, 0.000000000E+00, 0.000000000E+00
        27, 2.598837493E-01, 0.000000000E+00, 1.238249796E+00, 0.000000000E+00, 0.000000000E+00
        28, 2.698792781E-01, 0.000000000E+00, 1.238258758E+00, 0.000000000E+00, 0.000000000E+00
        29, 2.798748069E-01, 0.000000000E+00, 1.238282383E+00, 0.000000000E+00, 0.000000000E+00
        30, 2.898703358E-01, 0.000000000E+00, 1.238320271E+00, 0.000000000E+00, 0.000000000E+00
