nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1, 0.000000000E+00, 0.000000000E+00, 6.888476676E+00, 0.000000000E+00, 0.000000000E+00
         2, 9.995528819E-03, 0.000000000E+00, 6.884124676E+00, 0.000000000E+00, 0.000000000E+00
         3, 1.999105764E-02, 0.000000000E+00, 6.875572691E+00, 0.000000000E+00, 0.000000000E+00
         4, 2.998658646E-02, 0.000000000E+00, 6.866752776E+00, 0.000000000E+00, 0.000000000E+00
         5, 3.998211528E-02, 0.000000000E+00, 6.857520319E+00, 0.000000000E+00, 0.000000000E+00
         6, 4.997764409E-02, 0.000000000E+00, 6.848199053E+00, 0.000000000E+00, 0.000000000E+00
         7, 5.997317291E-02, 0.000000000E+00, 6.838777699E+00, 0.000000000E+00, 0.000000000E+00
         8, 6.996870173E-02, 0.000000000E+00, 6.829335152E+00, 0.000000000E+00, 0.000000000E+00
         9, 7.996423055E-02, 0.000000000E+00, 6.819872859E+00, 0.000000000E+00, 0.000000000E+00
        10, 8.995975937E-02, 0.000000000E+00, 6.810404840E+00, 0.000000000E+00, 0.000000000E+00
        11, 9.995528819E-02, 0.000000000E+00, 6.800933222E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.099508170E-01, 0.000000000E+00, 6.791461607E+00, 0.000000000E+00, 0.000000000E+00
        13, 1.199463458E-01, 0.000000000E+00, 6.781991606E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.299418746E-01, 0.000000000E+00, 6.772524688E+00, 0.000000000E+00, 0.000000000E+00
        15, 1.399374035E-01, 0.000000000E+00, 6.763061823E+00, 0.000000000E+00, 0.000000000E+00
        16, 1.499329323E-01, 0.000000000E+00, 6.753603906E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.599284611E-01, 0.000000000E+00, 6.744151684E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.699239899E-01, 0.000000000E+00, 6.734705852E+00, 0.000000000E+00, 0.000000000E+00
        19, 1.799195187E-01, 0.000000000E+00, 6.725267060E+00, 0.000000000E+00, 0.000000000E+00
        20, 1.899150476E-01, 0.000000000E+00, 6.715835946E+00, 0.000000000E+00, 0.000000000E+00
        21, 1.999105764E-01, 0.000000000E+00, 6.706413151E+00, 0.000000000E+00, 0.000000000E+00
        22, 2.099061052E-01, 0.000000000E+00, 6.696999329E+00, 0.000000000E+00, 0.000000000E+00
        23, 2.199016340E-01, 0.000000000E+00, 6.687595159E+00, 0.000000000E+00, 0.000000000E+00
        24, 2.298971628E-01, 0.000000000E+00, 6.678201358E+00, 0.000000000E+00, 0.000000000E+00
        25, 2.398926917E-01, 0.000000000E+00, 6.668818682E+00, 0.000000000E+00, 0.000000000E+00
